pair_id,context,score_spectral_only,score_full_spatial_spectral
27,exchange,0.6699260502599322,0.9999944295150227
27,radiation,0.6699260502599322,0.0020853506315795353
28,exchange,0.4504693661611199,0.3443809941278884
28,radiation,0.4504693661611199,2.626746620165679e-07
29,exchange,0.42373466398874576,0.8989440043356489
29,radiation,0.42373466398874576,4.1520210743942844e-07
30,exchange,0.5425445710493852,0.999597584133915
30,radiation,0.5425445710493852,0.0005455775213566923
31,exchange,0.6605251061125731,0.9501490892046914
31,radiation,0.6605251061125731,1.3207335699888938e-06
32,exchange,0.43102090599883897,0.4663388709192917
32,radiation,0.43102090599883897,2.3362731363057707e-07
33,exchange,0.444925062460916,0.9836597766605658
33,radiation,0.444925062460916,1.6067089590636956e-05
34,exchange,0.45678551983974724,0.6239826656132595
34,radiation,0.45678551983974724,2.6938647425201065e-07
35,exchange,0.4359575518364773,0.9987627081529266
35,radiation,0.4359575518364773,0.0002573119101838402
36,exchange,0.42061800798882376,0.9086189894505048
36,radiation,0.42061800798882376,6.955527218569915e-07
37,exchange,0.4249395966623539,0.5514268428538984
37,radiation,0.4249395966623539,1.2747158245955456e-07
38,exchange,0.6138367568604128,0.9985057932926882
38,radiation,0.6138367568604128,6.033520183672983e-05
39,exchange,0.6095285896739596,0.999792217088407
39,radiation,0.6095285896739596,0.0017401882341775217
40,exchange,0.43404915912965736,0.8847042367820115
40,radiation,0.43404915912965736,8.050244820993887e-07
41,exchange,0.4156376574798976,0.29647544548626376
41,radiation,0.4156376574798976,3.6773822267861615e-08
42,exchange,0.47245185524808436,0.9846101470343196
42,radiation,0.47245185524808436,5.77854116732073e-06
43,exchange,0.5883480152833196,0.37716574997232616
43,radiation,0.5883480152833196,7.465904844069571e-07
44,exchange,0.6900098456314596,0.7589369637217226
44,radiation,0.6900098456314596,7.744541841676077e-08
45,exchange,0.6476617047210088,0.7729926740254064
45,radiation,0.6476617047210088,3.6326553891331953e-07
46,exchange,0.544253501922117,0.3921262776660108
46,radiation,0.544253501922117,9.548437081639088e-08
47,exchange,0.6564902138913143,0.9914174510844496
47,radiation,0.6564902138913143,2.1274217373304368e-05
48,exchange,0.5959737290756957,0.9427748979174315
48,radiation,0.5959737290756957,2.297189458436807e-06
49,exchange,0.419248912760532,0.8872681650150421
49,radiation,0.419248912760532,1.0697372041639027e-06
50,exchange,0.5489102074620054,0.8686148383171001
50,radiation,0.5489102074620054,4.66699487744638e-07
51,exchange,0.4096398940784358,0.9944398585882022
51,radiation,0.4096398940784358,2.4321407198798317e-05
52,exchange,0.475649569672744,0.8663707156531648
52,radiation,0.475649569672744,2.6927462660492655e-07
53,exchange,0.6335685585730905,0.9345748763623677
53,radiation,0.6335685585730905,1.6628214803268223e-06
54,exchange,0.5384077660160502,0.9473035483369145
54,radiation,0.5384077660160502,1.2868430814305509e-06
55,exchange,0.6059728043300993,0.9972247024312981
55,radiation,0.6059728043300993,4.060689308507127e-05
56,exchange,0.5811990666410671,0.9987042906244809
56,radiation,0.5811990666410671,0.00039804581512734136
57,exchange,0.6012505770930333,0.5827426130386397
57,radiation,0.6012505770930333,1.6944580601800898e-07
58,exchange,0.6511181695903858,0.6903308706779999
58,radiation,0.6511181695903858,7.54717833414438e-07
59,exchange,0.5291214174375651,0.9999927214891794
59,radiation,0.5291214174375651,0.007474462669765208
60,exchange,0.6516056359697427,0.5253350760415954
60,radiation,0.6516056359697427,1.6563450312936839e-07
61,exchange,0.5210548269654491,0.9998263600491296
61,radiation,0.5210548269654491,0.0012432487580472482
62,exchange,0.5301241016559227,0.9999667070242453
62,radiation,0.5301241016559227,0.004658913646122352
63,exchange,0.6114024012351003,0.5491153855248166
63,radiation,0.6114024012351003,3.744873431418865e-07
64,exchange,0.45770996202734965,0.5665901215629333
64,radiation,0.45770996202734965,5.837069188569132e-08
65,exchange,0.5158912412575677,0.7409451271097347
65,radiation,0.5158912412575677,4.826285460414399e-07
66,exchange,0.42934147846800313,0.8607266905924488
66,radiation,0.42934147846800313,2.593374281484353e-06
67,exchange,0.5495203830088934,0.9945585142179955
67,radiation,0.5495203830088934,1.49218000126378e-05
68,exchange,0.41207321311292605,0.9992242512512645
68,radiation,0.41207321311292605,0.0003070624261801607
69,exchange,0.4474821465420077,0.9508426083235625
69,radiation,0.4474821465420077,6.29372053637641e-07
70,exchange,0.5981763818071448,0.16021783085167118
70,radiation,0.5981763818071448,1.9518539342885064e-08
71,exchange,0.5176625361430622,0.999982339939606
71,radiation,0.5176625361430622,0.004620881248922407
72,exchange,0.4472204643480437,0.9999565260563102
72,radiation,0.4472204643480437,0.0022347717706974993
73,exchange,0.6652396571960129,0.9979946114469964
73,radiation,0.6652396571960129,3.7855119511181885e-05
74,exchange,0.45005212656058974,0.8590277590552402
74,radiation,0.45005212656058974,5.764014199231141e-06
75,exchange,0.6016858435753536,0.9168619896665424
75,radiation,0.6016858435753536,1.2894219633857873e-06
76,exchange,0.4758742693071818,0.8942516641823683
76,radiation,0.4758742693071818,3.7186073713281e-07
77,exchange,0.4331592482230523,0.9920889205890572
77,radiation,0.4331592482230523,1.0596018207776058e-05
78,exchange,0.48426326754072724,0.8765252559203828
78,radiation,0.48426326754072724,1.5955822213936052e-06
79,exchange,0.6489245248990917,0.8206288007285918
79,radiation,0.6489245248990917,8.68171261873769e-07
80,exchange,0.6550857534825066,0.3383343515149312
80,radiation,0.6550857534825066,2.7352192796033227e-08
81,exchange,0.5386185231847814,0.5316211065347174
81,radiation,0.5386185231847814,6.941385747990695e-08
82,exchange,0.6592592185222569,0.9924575016793964
82,radiation,0.6592592185222569,7.139962375051565e-06
83,exchange,0.5761944095438463,0.8119193566321473
83,radiation,0.5761944095438463,9.702041501585169e-08
84,exchange,0.4933333260347091,0.9999118444871702
84,radiation,0.4933333260347091,0.00121551340877628
85,exchange,0.5711263332709868,0.5909544867521562
85,radiation,0.5711263332709868,1.8503229987538646e-07
86,exchange,0.49516622551176154,0.9999822227540986
86,radiation,0.49516622551176154,0.003577086439112058
87,exchange,0.6560571980903849,0.8823180586317722
87,radiation,0.6560571980903849,1.066068370049189e-06
88,exchange,0.6075722844613738,0.9620360757104559
88,radiation,0.6075722844613738,4.975553807713413e-07
89,exchange,0.5393960414395975,0.9963824474646306
89,radiation,0.5393960414395975,6.372713976072985e-06
90,exchange,0.6354135952655251,0.9772705154555694
90,radiation,0.6354135952655251,6.702141546873929e-07
91,exchange,0.5979110811083943,0.9972336863244838
91,radiation,0.5979110811083943,2.4214501911081753e-05
92,exchange,0.6946328710468153,0.8181339598597445
92,radiation,0.6946328710468153,2.6118772415049408e-06
93,exchange,0.540951340132362,0.9998258488524446
93,radiation,0.540951340132362,0.0015733394963391824
94,exchange,0.5401020276280206,0.9292843457357596
94,radiation,0.5401020276280206,2.012734661028588e-06
95,exchange,0.5160063734364363,0.9615356812599195
95,radiation,0.5160063734364363,2.2788761819958386e-06
96,exchange,0.6903227961170939,0.9717172081289728
96,radiation,0.6903227961170939,1.1504510725090228e-06
97,exchange,0.5375898306408261,0.9202676989788129
97,radiation,0.5375898306408261,3.951507269197651e-07
98,exchange,0.5976062768540326,0.9117238341572842
98,radiation,0.5976062768540326,2.0309341952712966e-06
99,exchange,0.48309438324157655,0.9907752938576004
99,radiation,0.48309438324157655,9.382241580017266e-06
